# Normative statements with no citing test: the accepted backlog.
# Regenerate: UPDATE_SPEC_COVERAGE_BASELINE=1 cargo test -p vouch-tests --test spec_coverage
# This list may only shrink -- see crates/vouch-tests/tests/spec_coverage.rs.
req_id	strength	text
ctap-2.0-ps-20190130#5#01c2c887	MUST	Note that because this specification defines normative behaviors for them, all authenticators MUST understand the "rk", "up", and "uv" options.
ctap-2.0-ps-20190130#5#0f409d00	MUST	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value. pinToken (0x02) Byte Array Optional Encrypted pinToken using sharedSecret to be used in subseq
ctap-2.0-ps-20190130#5#16626b10	MUST	User identifiable information (name, DisplayName, icon) MUST not be returned if user verification is not done by the authenticator.
ctap-2.0-ps-20190130#5#1b68d5cc	MUST	The COSE_Key-encoded public key MUST contain the optional "alg" parameter and MUST NOT contain any other optional parameters.
ctap-2.0-ps-20190130#5#2693204c	MUST	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value. pinAuth (0x04) Byte Array Optional First 16 bytes of HMAC-SHA-256 of encrypted contents using 
ctap-2.0-ps-20190130#5#4c765711	MUST	For this version of the spec, this SHALL be the number 1. subCommand (0x02) Unsigned Integer Required The authenticator Client PIN sub command currently being r
ctap-2.0-ps-20190130#5#8d03ccca	MUST	If this parameter is present and has 1 or more entries, the authenticator MUST only generate an assertion using one of the denoted credentials. extensions (0x04
ctap-2.0-ps-20190130#5#956b6508	MUST	6 If pinAuth parameter is not present and clientPin been set on the authenticator, return CTAP2_ERR_PIN_REQUIRED error.
ctap-2.0-ps-20190130#5#98ca9a89	MUST	This step MUST happen before the following steps due to privacy reasons (i.e., authenticator cannot disclose existence of a credential until the user interacted
ctap-2.0-ps-20190130#5#ddebae2c	MUST	User identifiable information (name, DisplayName, icon) inside publicKeyCredentialUserEntity MUST not be returned if user verification is not done by the authen
ctap-2.0-ps-20190130#6#04328ea5	MUST NOT	Clients, platforms, and servers MUST NOT use more than 4 levels of CBOR nesting.
ctap-2.0-ps-20190130#6#0d0b3a1c	MUST	By default, authenticators MUST support messages of at least 1024 bytes.
ctap-2.0-ps-20190130#6#212e8e1f	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#2c6e6afb	MUST NOT	• Tags as defined in Section 2.4 in [RFC7049] MUST NOT be present.
ctap-2.0-ps-20190130#6#2e1592b2	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#35ec38cb	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#37d363e6	MUST	To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as 
ctap-2.0-ps-20190130#6#4d6b6cc2	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#5244b637	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#5b116f95	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#5e395daa	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#699aa372	MUST	All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys.
ctap-2.0-ps-20190130#6#704933cd	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#772d2de5	MUST	If map keys are present that an implementation does not understand, they MUST be ignored.
ctap-2.0-ps-20190130#6#87b9798a	SHOULD	All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys.
ctap-2.0-ps-20190130#6#9d56efa6	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#a2eea360	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#a5ff7534	MUST	Authenticators MUST support at least 4 levels of CBOR nesting.
ctap-2.0-ps-20190130#6#a879594a	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#cdda3250	MUST NOT	Clients, platforms, and servers MUST NOT send messages larger than 1024 bytes unless the authenticator’s maxMsgSize indicates support for the larger message siz
ctap-2.0-ps-20190130#6#d7c18c10	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6#da40893a	SHOULD	Authenticators SHOULD return the CTAP2_ERR_INVALID_CBOR error if received CBOR does not conform to the requirements above.
ctap-2.0-ps-20190130#6#e6fe4b8c	MUST	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this r
ctap-2.0-ps-20190130#6.1#5bb67a75	MUST	For this version of the spec, this SHALL be the number 1.
ctap-2.0-ps-20190130#6.2#1b68d5cc	MUST	The COSE_Key-encoded public key MUST contain the optional "alg" parameter and MUST NOT contain any other optional parameters.
ctap-2.0-ps-20190130#6.2#c5dd4c84	MUST	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value.
ctap-2.0-ps-20190130#6.3#111aaeac	MUST	Requires power recycle to reset. 0x35 CTAP2_ERR_PIN_NOT_SET No PIN has been set. 0x36 CTAP2_ERR_PIN_REQUIRED PIN is required for the selected operation. 0x37 CT
ctap-2.0-ps-20190130#6.3#219aafaa	MUST	Currently only enforces minimum length. 0x38 CTAP2_ERR_PIN_TOKEN_EXPIRED pinToken expired on authenticator. 0x39 CTAP2_ERR_REQUEST_TOO_LARGE Authenticator canno
ctap-2.0-ps-20190130#6.3#ee3a09d3	MUST	Code Name Description 0x00 CTAP1_ERR_SUCCESS, CTAP2_OK Indicates successful response. 0x01 CTAP1_ERR_INVALID_COMMAND The command is not a valid CTAP command. 0x
ctap-2.0-ps-20190130#8.1.4#2487f6e7	SHOULD	Unused bytes SHOULD be set to zero.
ctap-2.0-ps-20190130#8.1.7#c6130466	MUST	This means that a CTAPHID host SHALL support any version of a device with the command set available in that particular version.
ctap-2.0-ps-20190130#8.1.9.1.3#6d010bde	MUST	This version of the CTAPHID protocol is 2. A CTAPHID host SHALL accept a response size that is longer than the anticipated size to allow for future extensions o
ctap-2.0-ps-20190130#8.1.9.1.3#9a23c995	MUST	To allocate a new channel, the requesting application SHALL use the broadcast channel CTAPHID_BROADCAST_CID (0xFFFFFFFF).
ctap-2.0-ps-20190130#8.1.9.1.5#0161a419	MUST	If there is an outstanding request that can be cancelled, the authenticator MUST cancel it and that cancelled request will reply with the error CTAP2_ERR_KEEPAL
ctap-2.0-ps-20190130#8.1.9.1.5#89a871a1	MUST	A CTAPHID_CANCEL received while no CTAPHID_CBOR request is being processed, or on a non-active CID SHALL be ignored by the authenticator.
ctap-2.0-ps-20190130#8.1.9.1.5#9b61c737	MUST	The CTAP2_ERR_KEEPALIVE_CANCEL response MUST be the response to that request, not an error response in the HID transport.
ctap-2.0-ps-20190130#8.1.9.1.5#a4217a9f	MUST NOT	Whether a request was cancelled or not, the authenticator MUST NOT reply to the CTAPHID_CANCEL message itself.
ctap-2.0-ps-20190130#8.1.9.1.6#825c60b4	MUST	CMD CTAPHID_ERROR BCNT 1 DATA Error code The following error codes are defined ERR_INVALID_CMD 0x01 The command in the request is invalid ERR_INVALID_PAR 0x02 T
ctap-2.0-ps-20190130#8.2.2#803c7e27	SHOULD	Because of timeouts that may otherwise occur on some platforms, it is RECOMMENDED that the Authenticators reply to APDU commands within 800 milliseconds.
ctap-2.0-ps-20190130#8.2.3#10376484	MUST	• If the authenticator ONLY implements CTAP2, the device SHALL respond with "FIDO_2_0", or 0x4649444f5f325f30.
ctap-2.0-ps-20190130#8.2.3#17f509a8	MUST	• If the authenticator implements both CTAP1/U2F and CTAP2, the version information SHALL be the string "U2F_V2", or 0x5532465f5632, to maintain backwards-compa
ctap-2.0-ps-20190130#8.2.3#6981d3c4	MUST	Authenticators MUST at least support the previously defined selection process.
