# Audit scope for the normative-requirement coverage audit.
#
# scope:
#   implements  Vouch speaks this protocol. Requirements addressed to a role
#               Vouch plays are testable obligations.
#   consumes    Vouch produces or parses this format but does not implement the
#               protocol. Obligations are limited to what Vouch emits/validates.
#   reference   Cached for citation or a constant only. No Vouch obligation.
#
# roles: the actor(s) Vouch plays, used to filter requirements addressed to
# other actors. "-" means the role filter does not apply.
#
# Generated rows are checked by crates/vouch-tests/tests/spec_coverage.rs; every
# spec in specs/manifest.tsv must appear here exactly once.
#
spec_id	scope	roles	reason
ctap-2.0-ps-20190130	implements	client,platform	CLI drives CTAP2 makeCredential/getAssertion over HID.
draft-ietf-hpke-pq-05	reference	-	Cited in document_crypto.rs only as the source of future hybrid KEM codepoints; no PQ KEM is implemented.
draft-miller-ssh-agent-17	implements	agent	vouch-agent implements the SSH agent protocol server side.
fapi-2_0-message-signing	implements	authorization-server	Certified profile; message signing over /oauth and /v1.
fapi-2_0-security-profile	implements	authorization-server	Certified profile. The primary conformance surface.
jarm	implements	authorization-server	JWT-secured authorization response mode.
oauth-form-post-response-mode-1_0	implements	authorization-server	response_mode=form_post at the authorization endpoint.
oauth-multiple-response-types-1_0	implements	authorization-server	Multiple response_type encodings at the authorization endpoint.
oidc-backchannel-1_0	implements	openid-provider	Back-channel logout token issuance.
oidc-core-1_0	implements	openid-provider,relying-party	Server is an OP; the SAML/OIDC upstream IdP client is an RP.
oidc-discovery-1_0	implements	openid-provider	/.well-known/openid-configuration.
oidc-frontchannel-1_0	implements	openid-provider	Front-channel logout.
oidc-registration-1_0	implements	openid-provider	Dynamic client registration.
oidc-rpinitiated-1_0	implements	openid-provider	RP-initiated logout endpoint.
oidc-session-1_0	implements	openid-provider	Session management.
rfc1035	reference	-	Only the 253/63-character name limits are used, in hostname validation.
rfc1866	reference	-	Cited once in vouch-httpsig as a contrast to RFC 3986 percent-encoding.
rfc1918	reference	-	Private-address ranges used as SSRF-guard constants.
rfc2606	reference	-	Reserved names used in test fixtures.
rfc2617	reference	-	Superseded by RFC 7235/7617; retained for the historical Basic scheme text.
rfc2730	reference	-	Cached in error: the "RFC 2730/3139" citation in the Cargo credential provider refers to Cargo RFCs, not IETF MADCAP. See the audit report.
rfc2822	reference	-	Date parsing is delegated to jiff; Vouch emits no RFC 2822 messages.
rfc3279	consumes	verifier	Algorithm OIDs read when parsing X.509 in mTLS and SAML signing certs.
rfc3339	consumes	producer	Timestamps emitted in SCIM and JSON APIs.
rfc3986	consumes	producer,parser	URI construction and comparison across redirect URIs, htu, and issuer.
rfc4253	consumes	producer	SSH certificate and key wire encoding.
rfc4343	reference	-	DNS case-insensitivity rule applied in host comparison.
rfc4514	consumes	parser	Subject DN string form read for mTLS client certificates.
rfc5280	consumes	verifier	X.509 path and extension checks for mTLS and attestation chains.
