req_id	spec	section	strength	all_strengths	section_title	text
ctap-2.0-ps-20190130#5#01c2c887	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	Note that because this specification defines normative behaviors for them, all authenticators MUST understand the "rk", "up", and "uv" options.
ctap-2.0-ps-20190130#5#956b6508	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	6 If pinAuth parameter is not present and clientPin been set on the authenticator, return CTAP2_ERR_PIN_REQUIRED error.
ctap-2.0-ps-20190130#5#8d03ccca	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	If this parameter is present and has 1 or more entries, the authenticator MUST only generate an assertion using one of the denoted credentials. extensions (0x04) CBOR map of extension identifier → authenticator extension input values Optional Parameters to influence authenticator operation.
ctap-2.0-ps-20190130#5#98ca9a89	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	This step MUST happen before the following steps due to privacy reasons (i.e., authenticator cannot disclose existence of a credential until the user interacted with the device):
ctap-2.0-ps-20190130#5#ddebae2c	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	User identifiable information (name, DisplayName, icon) inside publicKeyCredentialUserEntity MUST not be returned if user verification is not done by the authenticator.
ctap-2.0-ps-20190130#5#16626b10	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	User identifiable information (name, DisplayName, icon) MUST not be returned if user verification is not done by the authenticator.
ctap-2.0-ps-20190130#5#4c765711	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	For this version of the spec, this SHALL be the number 1. subCommand (0x02) Unsigned Integer Required The authenticator Client PIN sub command currently being requested keyAgreement (0x03) COSE_Key Optional Public key of platformKeyAgreementKey.
ctap-2.0-ps-20190130#5#1b68d5cc	ctap-2.0-ps-20190130	5	MUST	MUST,MUST NOT	Authenticator API	The COSE_Key-encoded public key MUST contain the optional "alg" parameter and MUST NOT contain any other optional parameters.
ctap-2.0-ps-20190130#5#2693204c	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value. pinAuth (0x04) Byte Array Optional First 16 bytes of HMAC-SHA-256 of encrypted contents using sharedSecret.
ctap-2.0-ps-20190130#5#0f409d00	ctap-2.0-ps-20190130	5	MUST	MUST	Authenticator API	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value. pinToken (0x02) Byte Array Optional Encrypted pinToken using sharedSecret to be used in subsequent authenticatorMakeCredential and authenticatorGetAssertion operations. retries (0x03) Unsigned Integer Optional Number of PIN attempts remaining before lockout.
ctap-2.0-ps-20190130#6#37d363e6	ctap-2.0-ps-20190130	6	MUST	MUST	Message Encoding	To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049].
ctap-2.0-ps-20190130#6#699aa372	ctap-2.0-ps-20190130	6	MUST	MUST	Message Encoding	All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys.
ctap-2.0-ps-20190130#6#87b9798a	ctap-2.0-ps-20190130	6	SHOULD	SHOULD	Message Encoding	All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys.
ctap-2.0-ps-20190130#6#e6fe4b8c	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • Integers must be encoded as small as possible.
ctap-2.0-ps-20190130#6#d7c18c10	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ 0 to 23 and -1 to -24 must be expressed in the same byte as the major type;
ctap-2.0-ps-20190130#6#35ec38cb	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ 24 to 255 and -25 to -256 must be expressed only with an additional uint8_t;
ctap-2.0-ps-20190130#6#a879594a	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ 256 to 65535 and -257 to -65536 must be expressed only with an additional uint16_t;
ctap-2.0-ps-20190130#6#9d56efa6	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ 65536 to 4294967295 and -65537 to -4294967296 must be expressed only with an additional uint32_t.
